,Topik 1,Topik 2,Topik 3,Total Proporsi Kata
adadari,0.6336687355223607,0.13581730076141732,0.23051396371622193,0.9999999999999999
adalahdata,0.0923803502433143,0.7073169949136798,0.2003026548430059,1.0
adalahnaã,0.6336687361590467,0.13581730061384717,0.23051396322710616,1.0
adamenunjukkan,0.06773075076797452,0.08385466206221116,0.8484145871698142,0.9999999999999999
adanhya,0.6257614757016889,0.14416588745069453,0.23007263684761656,1.0
adapengadilan,0.6256451302291034,0.14428872345119645,0.2300661463197003,1.0000000000000002
adapt,0.7021380850725247,0.010088721577301256,0.2877731933501741,1.0
adaptif,0.00815332422266458,0.19104053116430195,0.8008061446130335,1.0
adaptivita,0.09405611496424826,0.7055476982509771,0.2003961867847746,1.0
adat,0.0651308850554992,0.08640001146917872,0.848469103475322,1.0
adatif,0.06504085017257577,0.08429793435941071,0.8506612154680135,1.0
addi,0.0273083039125468,0.913086938085019,0.059604758002434234,1.0
addit,0.9608749593335743,0.006960620193566711,0.03216442047285897,0.9999999999999999
adiwiyata,0.06508819034263522,0.08540319587807862,0.8495086137792861,1.0
adjac,0.6336687346301899,0.13581730097206682,0.23051396439774327,1.0
adjectiv,0.6249923612614893,0.13502066434691232,0.2399869743915985,1.0
adjust,0.6336687356611549,0.1358173007295302,0.2305139636093149,0.9999999999999999
adm,0.014299200903474783,0.01868643297443097,0.9670143661220942,1.0
admin,0.12521190121736447,0.7106636464493371,0.16412445233329856,1.0000000000000002
administasi,0.6225873814482541,0.14751713668545954,0.22989548186628625,0.9999999999999999
administr,0.007181962114374635,0.6399039299883996,0.3529141078972257,1.0
administra,0.09175393300932967,0.7079783758233075,0.20026769116736282,1.0
administrasi,0.017424157571087874,0.9766548685356193,0.005920973893292785,1.0
administrasinya,0.09175393296823538,0.7079783760816422,0.20026769095012248,1.0
administratif,0.09175393304753321,0.7079783755862941,0.20026769136617273,1.0
administratiffasilita,0.6277462883895961,0.14207029759747372,0.23018341401293013,1.0
adminnistrasi,0.09175393300932967,0.7079783758233075,0.20026769116736282,1.0
adminstrasi,0.5784807638156318,0.19408550264343705,0.2274337335409309,0.9999999999999998
adob,0.09175393300975625,0.7079783758231594,0.20026769116708434,0.9999999999999999
adopsi,0.06501116882398612,0.0836049579791794,0.8513838731968345,1.0
adriani,0.038307517287755395,0.04892185316179245,0.9127706295504521,0.9999999999999999
adt,0.09175393298541504,0.7079783759739676,0.2002676910406173,1.0
advanc,0.8213935834218864,0.05408811745591709,0.12451829912219646,1.0
adventur,0.05770753008207063,0.8163365196723356,0.12595595024559395,1.0000000000000002
adverb,0.6249923540714298,0.1350206636867438,0.23998698224182624,0.9999999999999999
advertis,0.05832577638778501,0.8156963624300392,0.12597786118217574,1.0
ae,0.6677161728427277,0.01693207708817852,0.3153517500690938,1.0
aed,0.8201967685977696,0.06773427762049761,0.1120689537817328,1.0
aegypti,0.7037895299957191,0.14735761153620436,0.1488528584680766,1.0
aesturbo,0.5928832272719692,0.13207250717295413,0.2750442655550767,1.0
afrizar,0.09187383995942072,0.7078517759667414,0.20027438407383788,1.0
agama,0.9347149887881828,0.024868392028038363,0.04041661918377879,1.0
agen,0.17474370562927785,0.5491643885584253,0.276091905812297,1.0000000000000002
agenda,0.0650111687809859,0.0836049579111277,0.8513838733078863,1.0
agent,0.3680553380414692,0.054597697192401796,0.577346964766129,1.0
agentbas,0.01236706881407055,0.01593758429238516,0.9716953468935443,1.0
agentâ,0.03803072005830841,0.04894836166580179,0.9130209182758899,1.0000000000000002
agfarizi,0.6336687355496309,0.13581730076941992,0.23051396368094915,0.9999999999999999
aggreg,0.06501116893682017,0.08360495816170566,0.8513838729014741,1.0
agil,0.027300284275384987,0.9121084115387084,0.060591304185906546,0.9999999999999999
agoritma,0.6336687349318755,0.1358173009024807,0.23051396416564365,0.9999999999999998
agrari,0.6336687339375787,0.13581730113700338,0.23051396492541798,1.0
agresif,0.05775994522125471,0.8162822470537971,0.1259578077249482,1.0
agribisni,0.6336687361208995,0.13581730062562572,0.2305139632534748,1.0
agung,0.6253738744708492,0.1445751232599826,0.2300510022691682,1.0
agustu,0.6316836604939586,0.13791316777059667,0.23040317173544472,1.0
ahe,0.7602633957835089,0.08888233588845411,0.15085426832803703,1.0
ahkir,0.6336687347479788,0.13581730094571892,0.2305139643063023,1.0
ahli,0.4472282194247961,0.4785785805435571,0.07419320003164666,0.9999999999999999
ahp,0.3211665533297174,0.014754250596955794,0.6640791960733269,1.0
ahpanalyt,0.6336687327360996,0.1358173014171356,0.23051396584676487,1.0
ahpmoora,0.06590914119516926,0.08368740699133795,0.8504034518134928,1.0
ai,0.23270626838282965,0.027602815848427806,0.7396909157687426,1.0
aid,0.020780567821213958,0.026724000352779408,0.9524954318260067,1.0
air,0.9075061220902307,0.08288205465112101,0.009611823258648247,1.0
aisk,0.09175393299530288,0.7079783759103909,0.2002676910943063,1.0
ajar,0.02326567660666949,0.9257763351809092,0.05095798821242122,0.9999999999999999
ajaran,0.8913551111211824,0.045437279866211495,0.06320760901260605,0.9999999999999999
ajer,0.5804104157068286,0.19204815487388416,0.2275414294192873,1.0
ajher,0.09175393311019872,0.7079783751945904,0.20026769169521094,1.0
ajukan,0.6336687351404654,0.13581730085170995,0.23051396400782453,0.9999999999999999
aka,0.09175393435877703,0.7079783673586721,0.2002676982825507,0.9999999999999998
akademi,0.377388926250053,0.48532573214046537,0.13728534160948158,0.9999999999999999
akademik,0.19589816040506194,0.800180122872474,0.003921716722464103,1.0
akademika,0.09187549131536318,0.7078500324006739,0.20027447628396292,1.0
akademiknya,0.8145394600281481,0.06950511513091832,0.11595542484093342,0.9999999999999999
akademisi,0.0650111688369091,0.08360495800097067,0.8513838731621202,1.0
akar,0.39947276977337176,0.0495445229625264,0.5509827072641019,1.0
akbiat,0.09340739056949345,0.706232630138031,0.2003599792924756,1.0
akhirakhir,0.5240774936986555,0.3700527148759309,0.1058697914254136,1.0
akhiran,0.3711506895035296,0.4725912804262632,0.15625803007020733,1.0
